from,to,edge_role,year
Wunder_24,Ayliva,1,2024
Wunder_24,Apache,1,2024
Wunder_24,Ayliva,2,2024
Wunder_24,Apache,2,2024
Wunder_24,Berky,2,2024
Wunder_24,Masri,2,2024
Wunder_24,OliverMelcher,2,2024
Wunder_24,Berky,3,2024
Wunder_24,Masri,3,2024
Wunder_24,OliverMelcher,3,2024
Wunder_24,Label_Whiteheart,4,2024
Zeit_24,SohoBani,1,2024
Zeit_24,HerbertGrönemeyer,1,2024
Zeit_24,Ericson,1,2024
Zeit_24,SohoBani,2,2024
Zeit_24,HerbertGrönemeyer,2,2024
Zeit_24,Ericson,2,2024
Zeit_24,SohoBani,3,2024
Zeit_24,Ericson,3,2024
Zeit_24,ChristopherRabai,3,2024
Zeit_24,JohannesGehring,3,2024
Zeit_24,Label_Epic,4,2024
Komet_24,UdoLindenberg,1,2024
Komet_24,Apache,1,2024
Komet_24,UdoLindenberg,2,2024
Komet_24,ChrisJames,2,2024
Komet_24,MarcoTscheschlok,2,2024
Komet_24,Apache,2,2024
Komet_24,Jumpa,2,2024
Komet_24,Sira,2,2024
Komet_24,Jumpa,3,2024
Komet_24,Sira,3,2024
Komet_24,Label_WarnerCentral,4,2024
9bis9_24,Sira,1,2024
9bis9_24,Badchieff,1,2024
9bis9_24,Bausa,1,2024
9bis9_24,Bausa,2,2024
9bis9_24,Badchieff,2,2024
9bis9_24,Sira,2,2024
9bis9_24,Southstar,2,2024
9bis9_24,Sira,3,2024
9bis9_24,Southstar,3,2024
9bis9_24,Label_FourMusic,4,2024
Bauch_Beine_Po_24,ShirinDavid,1,2024
Bauch_Beine_Po_24,ShirinDavid,2,2024
Bauch_Beine_Po_24,DavidKraft,2,2024
Bauch_Beine_Po_24,TimWilke,2,2024
Bauch_Beine_Po_24,Bozza,2,2024
Bauch_Beine_Po_24,Laas,2,2024
Bauch_Beine_Po_24,Sergen,2,2024
Bauch_Beine_Po_24,Timey,2,2024
Bauch_Beine_Po_24,DavidKraft,3,2024
Bauch_Beine_Po_24,TimWilke,3,2024
Bauch_Beine_Po_24,Label_JuicyMoney,4,2024
Vempa_24,Fourty,1,2024
Vempa_24,Bausa,1,2024
Vempa_24,Fourty,2,2024
Vempa_24,Bausa,2,2024
Vempa_24,Chekaa,2,2024
Vempa_24,Chekaa,3,2024
Vempa_24,Label_LifeIsPain,4,2024
Mama_hat_gesagt_24,Beatzarre,1,2024
Mama_hat_gesagt_24,DagAlexisKopplin,1,2024
Mama_hat_gesagt_24,Sido,1,2024
Mama_hat_gesagt_24,EsternGraf,1,2024
Mama_hat_gesagt_24,Sido,2,2024
Mama_hat_gesagt_24,Beatzarre,2,2024
Mama_hat_gesagt_24,DagAlexisKopplin,2,2024
Mama_hat_gesagt_24,EsternGraf,2,2024
Mama_hat_gesagt_24,ThiloBrandt,2,2024
Mama_hat_gesagt_24,Beatzarre,3,2024
Mama_hat_gesagt_24,Label_NurMusik,4,2024
Mittelmeer_24,Pashanim,1,2024
Mittelmeer_24,Pashanim,2,2024
Mittelmeer_24,SlimPharaoh,2,2024
Mittelmeer_24,Stickle,2,2024
Mittelmeer_24,Stickle,3,2024
