id,name,year,chart_rank,de_rank,type,sex,,
Wunder_24,Wunder,2024,2,1,1,,,
Ayliva,Ayliva,,,,2,f,,
Apache,Apache Volkan Yaman,,,,2,m,,
Berky,Berky,,,,2,m,,
Masri,Masri,,,,2,m,,
OliverMelcher,Oliver Melcher,,,,2,m,,
Label_Whiteheart,Whiteheart Records,,,,3,,,
Zeit_24,"Zeit, dass sich was dreht",2024,7,2,1,,,
SohoBani,Soho Bani,,,,2,m,,
HerbertGrönemeyer,Herbert Grönemeyer,,,,2,m,,
Ericson,Ericson,,,,2,m,,
JohannesGehring,Johannes Gehring (Drunken Masters),,,,2,m,,
ChristopherRabai,Christopher Rabai (Drunken Masters),,,,2,m,,
Label_Epic,Epic Records Germany,,,,3,,,
Komet_24,Komet,2024,8,3,1,,,
UdoLindenberg,Udo Lindenberg,,,,2,m,,
ChrisJames,Chris James,,,,2,m,,
MarcoTscheschlok,Marco Tscheschlok,,,,2,m,,
Jumpa,Jumpa,,,,2,m,,
Sira,Sira,,,,2,m,,
Label_WarnerCentral,Warner Music Central Europe,,,,3,,,
9bis9_23,9 bis 9,2023,1,1,1,,,
9bis9_24,9 bis 9,2024,13,4,1,,,
Badchieff,Badchieff,,,,2,m,,
Bausa,Bausa,,,,2,m,,
Southstar,Southstar,,,,2,m,,
Label_FourMusic,Four Music,,,,2,,,
Bauch_Beine_Po_24,"Bauch, Beine, Po",2024,15,5,1,,,
ShirinDavid,Shirin David,,,,2,f,,
Bozza,Bozza,,,,2,m,,
Laas,Laas,,,,2,m,,
Sergen,Sergen,,,,2,m,,
Timey,Timey,,,,2,m,,
Label_JuicyMoney,Juicy Money Records,,,,3,,,
Vempa_24,Vempa,2024,18,6,1,,,
Fourty,Fourty,,,,2,m,,
Chekaa,Chekaa,,,,2,m,,
Mama_hat_gesagt_24,Mama hat gesagt,2024,21,7,1,,,
Sido,Sido,,,,2,m,,
EsternGraf,Estern Graf,,,,2,f,,
Beatzarre,Beatzarre (SDP),,,,2,m,,
DagAlexisKopplin,Dag-Alexis Kopplin (SDP),,,,2,m,,
ThiloBrandt,Thilo Brandt,,,,2,m,,
Label_NurMusik,Nur Musik ist schöner,,,,3,,,
Mittelmeer_24,Mittelmeer,2024,25,8,1,,,
Pashanim,Pashanim,,,,2,m,,
SlimPharaoh,Slim Pharaoh,,,,2,m,,
Stickle,Stickle,,,,2,m,,
Label_UniversalUrban,Universal Music Domestic Urban,,,,3,,,
Ms_Jackson_24,Ms. Jackson,2024,28,9,1,,,
Sebo,sebo,,,,2,m,,
Liebe_auf_der_Rückbank_24,Liebe auf der Rückbank,2024,31,10,1,,,
Finch,Finch,,,,2,m,,
Tream,Tream,,,,2,m,,
MatthiasMania,Matthias Mania,,,,2,m,,
DanielGroßmann,Daniel Großmann,,,,2,m,,
Label_WalkThisWay,Walk This Way Records,,,,3,,,
Komet_23,Komet,2023,1,1,1,,,
Sie_weiß_23,Sie weiß,2023,3,2,1,,,
Wildberry_Lillet_23,Wildberry Lillet,2023,4,3,1,,,
Zukunft_Pink_23,Zukunft Pink,2023,6,4,1,,,
Nachts_wach_23,Nachts wach,2023,7,5,1,,,
9bis9_23,9 bis 9,2023,8,6,1,,,
Friesenjung_23,Friesenjung,2023,12,7,1,,,
Mädchen_auf_dem_Pferd_23,Mädchen auf dem Pferd,2023,13,8,1,,,
Breaking_your_Heart_23,Breaking your Heart,2023,14,9,1,,,
Mangos_mit_Chilli_23,Mangos mit Chilli,2023,15,10,1,,,
Madonna_21,Madonna,2021,11,1,1,,,
Sommergewitter_21,Sommergewitter,2021,16,2,1,,,
AufAb_21,Auf & Ab,2021,17,3,1,,,
Ohne_Dich_21,Ohne Dich,2021,18,4,1,,,
Blaues_Licht_21,Blaues Licht,2021,27,5,1,,,
Roller_21,Roller,2021,30,6,1,,,
Liege_wieder_wach_21,Liege wieder wach,2021,36,7,1,,,
Ich_darf_das_21,Ich darf das,2021,39,8,1,,,
Drei_Uhr_nachts_21,Drei Uhr nachts,2021,40,9,1,,,
Frag_mich_nicht_21,Frag mich nicht,2021,41,10,1,,,
Miksu,Miksu,,,,2,m,,
Label_WarnerGermany,Warner Music Germany,,,,3,,,
Mero,Mero,,,,2,m,,
OliverAvalon,Oliver Avalon,,,,2,m,,
Eddy,Eddy,,,,2,m,,
TomHengelbrock,Tom Hengelbrock,,,,2,m,,
Frio,Frio,,,,2,m,,
Kyree,Kyree,,,,2,m,,
Montez,Montez,,,,2,m,,
Aside,Aside,,,,2,m,,
NinaChuba,Nina Chuba,,,,2,f,,
Label_UniversalDomesticVertigo,Universal Domestic Vertigo,,,,3,,,
WanjaBierbaum,Wanja Bierbaum,,,,2,m,,
JustinFröhlich,Justin Fröhlich,,,,2,m,,
MichaelBurek,Michael Burek,,,,2,m,,
DanielSluga,Daniel Sluga (Wildbwoys),,,,2,m,,
MarkusGoreki,Markus Goreki (Wildbwoys),,,,2,m,,
Kasimir,KASIMIR1441,,,,2,m,,
Badmomzjay,Badmomzjay,,,,2,f,,
YannickJohannknecht,Yannick Johannknecht,,,,2,m,,
MassimoGabutti,Massimo Gabutti,,,,2,m,,
Label_Jive,Jive Music,,,,3,,,
Maury,Maury,,,,2,m,,
TheRoyals,The Royals,,,,2,m,,
PeterFox,"Peter Fox, Pierre Baigorry",,,,2,m,,
RAFCamora,RAF Camora,,,,2,m,,
Inez,Inéz,,,,2,f,,
BonezMC,Bonez MC,,,,2,m,,
TimWilke,Tim Wilke (The Cratez),,,,2,m,,
VincentGrafvonSchlippenbach,Vincent Graf von Schlippenbach (The Krauts),,,,2,m,,
DavidKraft,David Kraft,,,,2,m,,
JeffreyJey,Jeffrey Jey,,,,2,m,,
DavidConen,David Conen (The Krauts),,,,2,m,,
GianfrancoRandone,Gianfranco Randone,,,,2,m,,
JakobGrunert,Jakob Grunert,,,,2,m,,
TorstenSchroth,Torsten Schroth,,,,2,m,,
CharlesJosek,Charles Josek,,,,2,m,,
GuyJosek,Guy Josek,,,,2,m,,
LouisJosek,Louis Josek,,,,2,m,,
Lucry,Lucry,,,,2,m,,
JenniferAllendoerfer,Jennifer Allendoerfer,,,,2,f,,
Label_WarnerMusicGroup,Warner Music Group ,,,,3,,,
Suena,Suena,,,,2,f,,
Makko,Makko,,,,2,m,,
Macloud,Macloud,,,,2,m,,
Jamule,Jamule,,,,2,m,,
Label_BisEsKlappt,Bis es klappt records,,,,3,,,
Label_TwoSides,Two Sides,,,,3,,,
Barsky,Barsky,,,,2,m,,
Deats,Deats,,,,2,m,,
ChristopherPlowman,Christopher Plowman,,,,2,m,,
